source_train,target_test,model,audit_scope,corruption_family,severity,corruption,precision,recall,mAP50,mAP50_95
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,clean,clean,clean,0.4687154898511876,0.2678443576485317,0.34002086629739037,0.2745693981041588
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.460981951752003,0.21280575761236825,0.24195046812722928,0.19282622879186512
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.44838082555117764,0.18959640136036562,0.2111937173897019,0.14978132839627048
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.20896084337349397,0.11216653193209378,0.0865962655891597,0.045681189179396474
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.4221678991649945,0.15339531123686337,0.1973622887017398,0.17227700136167928
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.2266862903244962,0.14498933340036277,0.14583902459128614,0.12475464284587642
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.06476502270266501,0.19433908029667013,0.04164262320467871,0.03265079956551416
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.4738036191047863,0.24749207201231826,0.3061367072611662,0.25056878576648656
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.5257364342911216,0.24175735706300136,0.27719274810612776,0.23014442906301116
CropAndWeed,PhenoBench-val,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.31950167995219464,0.32824240709193064,0.25148645614498877,0.20678382205413176
