source_train,target_test,model,audit_scope,corruption_family,severity,corruption,precision,recall,mAP50,mAP50_95,source_file
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,clean,clean,clean,0.26454392017180584,0.2735549007572434,0.18119024282273116,0.1354674878646943,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.18345897598538818,0.19974642195955628,0.10477035410001634,0.07079927957174027,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.16490469520953588,0.15011627444986536,0.09924832680863009,0.06425089980917456,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.20256631000835945,0.14004908825101012,0.11209646754374505,0.06913019965438787,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.2565619016242388,0.2504481917863534,0.17494876128943934,0.13236893600680447,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.2382653769132794,0.2289132960725345,0.15967141711562208,0.121666197817392,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.2108168506914766,0.19849341881748722,0.1318637798287663,0.09769969673350189,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.23698399681576127,0.2615337929714771,0.17709954576412226,0.13396677678582214,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.23021798457340198,0.24027579910304883,0.1697303047440762,0.12810725469800985,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.2061406235829278,0.22606846408262782,0.13239040586679568,0.0945909089705775,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed0_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,clean,clean,clean,0.2868440766838871,0.33080871555653213,0.18809281176760928,0.13033682592255097,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.13919157529350593,0.15982446125766142,0.07741093599193227,0.05284774812241727,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.08552453975721445,0.11338603522775278,0.039487614000731995,0.02507710069135578,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.061487271451565476,0.0929739501446944,0.026358875090683923,0.016101310126520614,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.27732081506396966,0.2973052139441769,0.17362295268535177,0.12271477061710337,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.26874793308787326,0.2767135278105943,0.16124529904926596,0.11410256750168926,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.24696595663276916,0.2506950925533269,0.13657501364302205,0.09320155287389038,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.2711630833458608,0.3253898721224303,0.19676883508753934,0.13514641907241687,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.2537549223025349,0.28979034922066116,0.17469685578685995,0.1244334480980314,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.2032483666355423,0.20149474291913735,0.11653528574176714,0.08391313967087946,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed1_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,clean,clean,clean,0.26633637491496687,0.2014422410319074,0.14044370764109215,0.09833338726494958,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed2_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.10738960102645005,0.10436665696361518,0.059045022542575425,0.039133240069967365,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed2_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.04154408469306884,0.08212024918733565,0.015407419082289587,0.008766922044143475,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed2_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.03047905950886204,0.07366947244319863,0.010754008480816403,0.00628619948905026,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed2_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.24664585727939814,0.17824573153575518,0.12908555717966977,0.09107896115944801,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed2_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.22013993128069334,0.15957756049068791,0.10799594053340672,0.07566630683650621,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed2_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.16754202784816308,0.13659045041348783,0.08195443619055548,0.05450075975829675,outputs/revision/cross_dataset_detection_stress_severity_full/rtdetr_l_cropandweed_seed2_to_PhenoBench-val/tableS_cross_dataset_detection_stress_severity.csv
