source_train,target_test,model,audit_scope,corruption_family,severity,corruption,precision,recall,mAP50,mAP50_95
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,clean,clean,clean,0.2942589290163482,0.24214549074959074,0.15375061504026083,0.07509692875848112
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.35744719338509423,0.28802560359919727,0.17529740270709696,0.08238777440160663
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.3471977727597654,0.26026726675590167,0.15537623333011924,0.07406551884308335
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.31969204996158457,0.21160831765698898,0.12477182434478704,0.06237240013209884
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.2801453414172118,0.2527028103004539,0.14282818039132147,0.06755884865426452
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.24689380328146387,0.22113514687142766,0.12024821495741711,0.05669658262949713
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.2237206640737712,0.1978932030292619,0.09815797788096361,0.045400892493185054
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.29791471701101596,0.25890765914812447,0.16345860396544443,0.08025380725445076
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.30671885951591304,0.2670822528838842,0.16767119190223845,0.08123262374112591
phenobench,CropAndWeed-sample,YOLO11m,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.3356794621593552,0.28942499131920385,0.17667112305743637,0.08454969394774525
