dataset,original_label,mapped_label,images,notes
cwd30,asian-flatsedge,weed,12783,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,asiatic-dayflower,weed,6018,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,bean,crop,6260,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,bloodscale-sedge,weed,6285,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,cockspur-grass,weed,9296,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,cooper-leaf,weed,4948,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,corn,crop,6130,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,early-barnyard-grass,weed,210,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,fall-panicum,weed,9330,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,finger-grass,weed,9207,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,foxtail-millet,crop,5841,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,goosefoot,weed,6110,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,great-millet,crop,6765,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,green-foxtail,weed,7594,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,green-gram,crop,5447,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,henbit,weed,7540,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,indian-goosegrass,weed,9933,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,korean-dock,weed,6018,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,livid-pigweed,weed,7540,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,nipponicus-sedge,weed,5445,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,peanut,crop,6966,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,perilla,crop,5016,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,poa-annua,weed,210,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,proso-millet,crop,6249,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,purslane,weed,5655,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,red-bean,crop,6459,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,redroot-pigweed,weed,7540,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,sesame,crop,5078,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,smooth-pigweed,weed,7540,CWD30 fine class collapsed to crop/weed for external classification only.
cwd30,white-goosefoot,weed,6862,CWD30 fine class collapsed to crop/weed for external classification only.
