sample_id,object_id,label,label_id,x_min,y_min,x_max,y_max,area,source
cwfid_001,0,weed,2,810,114,1175,422,67026.5,cwfid_polygon_extent
cwfid_001,1,weed,2,637,476,1070,748,68852.5,cwfid_polygon_extent
cwfid_001,2,crop,1,1095,872,1177,948,4132.0,cwfid_polygon_extent
cwfid_001,3,weed,2,708,736,925,918,25932.0,cwfid_polygon_extent
cwfid_001,4,weed,2,550,632,762,877,30211.0,cwfid_polygon_extent
cwfid_001,5,weed,2,359,569,512,781,15507.0,cwfid_polygon_extent
cwfid_001,6,weed,2,338,580,454,739,12218.5,cwfid_polygon_extent
cwfid_001,7,weed,2,468,755,580,893,9939.5,cwfid_polygon_extent
cwfid_001,8,weed,2,643,271,762,370,7107.0,cwfid_polygon_extent
cwfid_001,9,crop,1,758,233,882,462,15716.0,cwfid_polygon_extent
cwfid_001,10,crop,1,669,1,940,217,38795.0,cwfid_polygon_extent
cwfid_001,11,weed,2,873,1,970,147,10400.5,cwfid_polygon_extent
cwfid_001,12,weed,2,507,514,585,622,6085.0,cwfid_polygon_extent
cwfid_001,13,weed,2,276,315,566,533,36479.5,cwfid_polygon_extent
cwfid_001,14,weed,2,274,197,539,407,29935.0,cwfid_polygon_extent
cwfid_001,15,weed,2,452,89,737,483,60324.5,cwfid_polygon_extent
cwfid_001,16,weed,2,569,481,678,605,8495.5,cwfid_polygon_extent
cwfid_002,0,weed,2,380,320,696,685,69152.5,cwfid_polygon_extent
cwfid_002,1,weed,2,599,221,750,352,12089.0,cwfid_polygon_extent
cwfid_002,2,weed,2,1114,246,1249,412,15062.5,cwfid_polygon_extent
cwfid_002,3,weed,2,851,440,1245,840,84404.5,cwfid_polygon_extent
cwfid_002,4,crop,1,789,465,878,576,6057.0,cwfid_polygon_extent
cwfid_002,5,weed,2,457,0,746,251,44376.0,cwfid_polygon_extent
cwfid_002,6,crop,1,737,1,928,170,20475.0,cwfid_polygon_extent
cwfid_002,7,weed,2,797,37,1004,269,29562.0,cwfid_polygon_extent
cwfid_002,8,weed,2,2,182,127,321,12785.0,cwfid_polygon_extent
cwfid_002,9,weed,2,789,631,930,787,12077.5,cwfid_polygon_extent
cwfid_002,10,weed,2,1227,671,1295,762,4204.5,cwfid_polygon_extent
cwfid_002,11,weed,2,687,740,867,909,13831.5,cwfid_polygon_extent
cwfid_003,0,weed,2,1131,763,1294,950,22826.0,cwfid_polygon_extent
cwfid_003,1,weed,2,727,619,1047,895,50681.5,cwfid_polygon_extent
cwfid_003,2,weed,2,804,459,1134,610,32623.0,cwfid_polygon_extent
cwfid_003,3,crop,1,614,346,873,454,14387.5,cwfid_polygon_extent
cwfid_003,4,crop,1,693,2,941,271,51049.5,cwfid_polygon_extent
cwfid_003,5,weed,2,555,140,691,326,16557.0,cwfid_polygon_extent
cwfid_003,6,weed,2,531,835,674,965,10943.5,cwfid_polygon_extent
cwfid_003,7,weed,2,675,433,851,606,22310.5,cwfid_polygon_extent
cwfid_004,0,weed,2,813,321,974,484,16860.0,cwfid_polygon_extent
cwfid_004,1,weed,2,728,872,887,965,9304.5,cwfid_polygon_extent
cwfid_004,2,weed,2,8,597,184,773,25783.5,cwfid_polygon_extent
cwfid_004,3,weed,2,563,735,749,890,19737.0,cwfid_polygon_extent
cwfid_004,4,weed,2,864,727,1000,850,6977.0,cwfid_polygon_extent
cwfid_004,5,weed,2,791,118,1124,440,54339.5,cwfid_polygon_extent
cwfid_004,6,weed,2,355,183,831,567,112391.0,cwfid_polygon_extent
cwfid_004,7,weed,2,0,174,269,496,55690.0,cwfid_polygon_extent
cwfid_004,8,crop,1,707,0,872,124,11372.5,cwfid_polygon_extent
