dataset,original_label,mapped_label,used_for_classification,used_for_detection,used_for_segmentation,notes
CropAndWeed,CropOrWeed2 value 0,crop,yes,yes,yes,Official crop/weed mapped mask value used by the benchmark.
CropAndWeed,CropOrWeed2 value 1,weed,yes,yes,yes,Official crop/weed mapped mask value used by the benchmark.
PhenoBench,semantic values 1 and 3,crop,yes,yes,yes,Values are collapsed to crop for the unified benchmark label space.
PhenoBench,semantic values 2 and 4,weed,yes,yes,yes,Values are collapsed to weed for the unified benchmark label space.
CWFID,polygon type crop,crop,yes,yes,diagnostic,CWFID is external diagnostic testing only.
CWFID,polygon type weed / binary weed mask,weed,yes,yes,diagnostic,CWFID is external diagnostic testing only; binary mask represents weed regions.
CWD30,asian-flatsedge,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,asiatic-dayflower,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,bean,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,bloodscale-sedge,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,cockspur-grass,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,cooper-leaf,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,corn,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,early-barnyard-grass,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,fall-panicum,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,finger-grass,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,foxtail-millet,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,goosefoot,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,great-millet,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,green-foxtail,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,green-gram,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,henbit,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,indian-goosegrass,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,korean-dock,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,livid-pigweed,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,nipponicus-sedge,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,peanut,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,perilla,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,poa-annua,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,proso-millet,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,purslane,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,red-bean,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,redroot-pigweed,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,sesame,crop,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,smooth-pigweed,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
CWD30,white-goosefoot,weed,yes,no,no,CWD30 is used only as external crop/weed classification after fine-class collapse.
