source_train,target_test,model,audit_scope,corruption_family,severity,corruption,precision,recall,mAP50,mAP50_95,run_id,direction,seed
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,clean,clean,clean,0.2645439201718058,0.2735549007572434,0.1811902428227311,0.1354674878646943,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.1834589759853881,0.1997464219595562,0.1047703541000163,0.0707992795717402,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.1649046952095358,0.1501162744498653,0.09924832680863,0.0642508998091745,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.2025663100083594,0.1400490882510101,0.112096467543745,0.0691301996543878,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.2565619016242388,0.2504481917863534,0.1749487612894393,0.1323689360068044,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.2382653769132794,0.2289132960725345,0.159671417115622,0.121666197817392,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.2108168506914766,0.1984934188174872,0.1318637798287663,0.0976996967335018,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.2369839968157612,0.2615337929714771,0.1770995457641222,0.1339667767858221,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.2302179845734019,0.2402757991030488,0.1697303047440762,0.1281072546980098,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.2061406235829278,0.2260684640826278,0.1323904058667956,0.0945909089705775,rtdetr_l_cropandweed_seed0_to_PhenoBench-val,C&W -> PB,0
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,clean,clean,clean,0.2868440766838871,0.3308087155565321,0.1880928117676092,0.1303368259225509,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.1391915752935059,0.1598244612576614,0.0774109359919322,0.0528477481224172,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.0855245397572144,0.1133860352277527,0.0394876140007319,0.0250771006913557,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.0614872714515654,0.0929739501446944,0.0263588750906839,0.0161013101265206,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.2773208150639696,0.2973052139441769,0.1736229526853517,0.1227147706171033,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.2687479330878732,0.2767135278105943,0.1612452990492659,0.1141025675016892,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,30,jpeg_quality_30,0.2469659566327691,0.2506950925533269,0.136575013643022,0.0932015528738903,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.75,low_resolution_0.75,0.2711630833458608,0.3253898721224303,0.1967688350875393,0.1351464190724168,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.5,low_resolution_0.5,0.2537549223025349,0.2897903492206611,0.1746968557868599,0.1244334480980314,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,low_resolution,0.25,low_resolution_0.25,0.2032483666355423,0.2014947429191373,0.1165352857417671,0.0839131396708794,rtdetr_l_cropandweed_seed1_to_PhenoBench-val,C&W -> PB,1
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,clean,clean,clean,0.2663363749149668,0.2014422410319074,0.1404437076410921,0.0983333872649495,rtdetr_l_cropandweed_seed2_to_PhenoBench-val,C&W -> PB,2
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,3,gaussian_blur_3,0.10738960102645,0.1043666569636151,0.0590450225425754,0.0391332400699673,rtdetr_l_cropandweed_seed2_to_PhenoBench-val,C&W -> PB,2
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,5,gaussian_blur_5,0.0415440846930688,0.0821202491873356,0.0154074190822895,0.0087669220441434,rtdetr_l_cropandweed_seed2_to_PhenoBench-val,C&W -> PB,2
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,blur,7,gaussian_blur_7,0.030479059508862,0.0736694724431986,0.0107540084808164,0.0062861994890502,rtdetr_l_cropandweed_seed2_to_PhenoBench-val,C&W -> PB,2
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,70,jpeg_quality_70,0.2466458572793981,0.1782457315357551,0.1290855571796697,0.091078961159448,rtdetr_l_cropandweed_seed2_to_PhenoBench-val,C&W -> PB,2
cropandweed,PhenoBench-val,RT-DETR-L,representative_cross_dataset_detection_severity,jpeg,50,jpeg_quality_50,0.2201399312806933,0.1595775604906879,0.1079959405334067,0.0756663068365062,rtdetr_l_cropandweed_seed2_to_PhenoBench-val,C&W -> PB,2
