model,model_label,train_dataset,external_test_dataset,metric,in_domain_estimate,external_estimate,drop_estimate,drop_ci_low,drop_ci_high,retention_estimate,retention_ci_low,retention_ci_high,n_in_domain,n_external,n_bootstrap,in_domain_source,external_source,task,status,test_dataset,estimate,ci_low,ci_high,n_images,reason
convnextv2_tiny,ConvNeXtV2-Tiny,cropandweed,phenobench,accuracy,0.8741,0.2889,0.5852,0.5506,0.6218,0.3305,0.2949,0.3666,1223.0,772.0,2000,convnextv2_tiny_cropandweed_indomain_300ep_predictions.csv,convnextv2_tiny_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
convnextv2_tiny,ConvNeXtV2-Tiny,cropandweed,phenobench,balanced_accuracy,0.8724,0.586,0.2864,0.2382,0.3464,0.6717,0.6076,0.7239,1223.0,772.0,2000,convnextv2_tiny_cropandweed_indomain_300ep_predictions.csv,convnextv2_tiny_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
convnextv2_tiny,ConvNeXtV2-Tiny,cropandweed,phenobench,macro_f1,0.8472,0.2565,0.5907,0.5576,0.6263,0.3028,0.2708,0.3355,1223.0,772.0,2000,convnextv2_tiny_cropandweed_indomain_300ep_predictions.csv,convnextv2_tiny_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
convnextv2_tiny,ConvNeXtV2-Tiny,phenobench,cropandweed,accuracy,0.2111,0.3908,-0.1797,-0.219,-0.1375,1.8511,1.5869,2.1748,772.0,1223.0,2000,convnextv2_tiny_phenobench_indomain_300ep_predictions.csv,convnextv2_tiny_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
convnextv2_tiny,ConvNeXtV2-Tiny,phenobench,cropandweed,balanced_accuracy,0.5734,0.5098,0.0636,0.0193,0.101,0.8891,0.8279,0.9645,772.0,1223.0,2000,convnextv2_tiny_phenobench_indomain_300ep_predictions.csv,convnextv2_tiny_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
convnextv2_tiny,ConvNeXtV2-Tiny,phenobench,cropandweed,macro_f1,0.1985,0.3908,-0.1923,-0.2295,-0.1531,1.969,1.697,2.2994,772.0,1223.0,2000,convnextv2_tiny_phenobench_indomain_300ep_predictions.csv,convnextv2_tiny_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
dinov2_small,DINOv2-S/14 linear,cropandweed,phenobench,accuracy,0.8258,0.706,0.1199,0.0819,0.1608,0.8548,0.808,0.8986,1223.0,772.0,2000,dinov2_small_cropandweed_indomain_300ep_predictions.csv,dinov2_small_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
dinov2_small,DINOv2-S/14 linear,cropandweed,phenobench,balanced_accuracy,0.8427,0.748,0.0947,0.0274,0.1752,0.8876,0.7943,0.9674,1223.0,772.0,2000,dinov2_small_cropandweed_indomain_300ep_predictions.csv,dinov2_small_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
dinov2_small,DINOv2-S/14 linear,cropandweed,phenobench,macro_f1,0.7988,0.5062,0.2926,0.2507,0.3372,0.6337,0.5847,0.6819,1223.0,772.0,2000,dinov2_small_cropandweed_indomain_300ep_predictions.csv,dinov2_small_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
dinov2_small,DINOv2-S/14 linear,phenobench,cropandweed,accuracy,0.5518,0.7424,-0.1906,-0.2329,-0.149,1.3454,1.2582,1.446,772.0,1223.0,2000,dinov2_small_phenobench_indomain_300ep_predictions.csv,dinov2_small_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
dinov2_small,DINOv2-S/14 linear,phenobench,cropandweed,balanced_accuracy,0.7235,0.5199,0.2036,0.1458,0.2514,0.7186,0.6731,0.7806,772.0,1223.0,2000,dinov2_small_phenobench_indomain_300ep_predictions.csv,dinov2_small_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
dinov2_small,DINOv2-S/14 linear,phenobench,cropandweed,macro_f1,0.4237,0.4736,-0.0499,-0.0878,-0.0097,1.1178,1.0218,1.2206,772.0,1223.0,2000,dinov2_small_phenobench_indomain_300ep_predictions.csv,dinov2_small_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
efficientnetv2_s,EfficientNetV2-S,cropandweed,phenobench,accuracy,0.8814,0.5492,0.3322,0.2918,0.3732,0.6231,0.5802,0.666,1223.0,772.0,2000,efficientnetv2_s_cropandweed_indomain_300ep_predictions.csv,efficientnetv2_s_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
efficientnetv2_s,EfficientNetV2-S,cropandweed,phenobench,balanced_accuracy,0.8713,0.6801,0.1912,0.1227,0.264,0.7805,0.6987,0.8573,1223.0,772.0,2000,efficientnetv2_s_cropandweed_indomain_300ep_predictions.csv,efficientnetv2_s_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
efficientnetv2_s,EfficientNetV2-S,cropandweed,phenobench,macro_f1,0.8535,0.4167,0.4368,0.3997,0.4741,0.4882,0.4509,0.5259,1223.0,772.0,2000,efficientnetv2_s_cropandweed_indomain_300ep_predictions.csv,efficientnetv2_s_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
efficientnetv2_s,EfficientNetV2-S,phenobench,cropandweed,accuracy,0.342,0.4947,-0.1527,-0.1978,-0.1094,1.4466,1.296,1.6327,772.0,1223.0,2000,efficientnetv2_s_phenobench_indomain_300ep_predictions.csv,efficientnetv2_s_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
efficientnetv2_s,EfficientNetV2-S,phenobench,cropandweed,balanced_accuracy,0.5857,0.448,0.1377,0.0601,0.2042,0.7649,0.6796,0.8843,772.0,1223.0,2000,efficientnetv2_s_phenobench_indomain_300ep_predictions.csv,efficientnetv2_s_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
efficientnetv2_s,EfficientNetV2-S,phenobench,cropandweed,macro_f1,0.2915,0.4404,-0.1489,-0.1883,-0.1091,1.5106,1.3469,1.7013,772.0,1223.0,2000,efficientnetv2_s_phenobench_indomain_300ep_predictions.csv,efficientnetv2_s_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
resnet50,ResNet50,cropandweed,phenobench,accuracy,0.8258,0.3355,0.4903,0.4509,0.5282,0.4062,0.3652,0.4481,1223.0,772.0,2000,resnet50_cropandweed_indomain_300ep_predictions.csv,resnet50_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
resnet50,ResNet50,cropandweed,phenobench,balanced_accuracy,0.8377,0.6244,0.2133,0.1683,0.2644,0.7454,0.6855,0.7961,1223.0,772.0,2000,resnet50_cropandweed_indomain_300ep_predictions.csv,resnet50_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
resnet50,ResNet50,cropandweed,phenobench,macro_f1,0.7974,0.2902,0.5072,0.4698,0.5435,0.3639,0.328,0.4011,1223.0,772.0,2000,resnet50_cropandweed_indomain_300ep_predictions.csv,resnet50_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
resnet50,ResNet50,phenobench,cropandweed,accuracy,0.272,0.3042,-0.0321,-0.0724,0.0063,1.1182,0.9792,1.2959,772.0,1223.0,2000,resnet50_phenobench_indomain_300ep_predictions.csv,resnet50_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
resnet50,ResNet50,phenobench,cropandweed,balanced_accuracy,0.5912,0.4652,0.1259,0.0735,0.1692,0.787,0.7271,0.8654,772.0,1223.0,2000,resnet50_phenobench_indomain_300ep_predictions.csv,resnet50_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
resnet50,ResNet50,phenobench,cropandweed,macro_f1,0.245,0.2947,-0.0496,-0.0862,-0.0127,1.2026,1.0488,1.3825,772.0,1223.0,2000,resnet50_phenobench_indomain_300ep_predictions.csv,resnet50_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
swin_tiny,Swin-T,cropandweed,phenobench,accuracy,0.8716,0.1826,0.689,0.6557,0.7218,0.2095,0.1787,0.2409,1223.0,772.0,2000,swin_tiny_cropandweed_indomain_300ep_predictions.csv,swin_tiny_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
swin_tiny,Swin-T,cropandweed,phenobench,balanced_accuracy,0.8697,0.4603,0.4094,0.34,0.4919,0.5292,0.4381,0.607,1223.0,772.0,2000,swin_tiny_cropandweed_indomain_300ep_predictions.csv,swin_tiny_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
swin_tiny,Swin-T,cropandweed,phenobench,macro_f1,0.8443,0.1716,0.6727,0.64,0.7058,0.2033,0.1742,0.2327,1223.0,772.0,2000,swin_tiny_cropandweed_indomain_300ep_predictions.csv,swin_tiny_train_cropandweed_test_phenobench_300ep_predictions.csv,classification,available,,,,,,
swin_tiny,Swin-T,phenobench,cropandweed,accuracy,0.0479,0.2674,-0.2194,-0.2481,-0.1906,5.5787,4.1304,8.1827,772.0,1223.0,2000,swin_tiny_phenobench_indomain_300ep_predictions.csv,swin_tiny_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
swin_tiny,Swin-T,phenobench,cropandweed,balanced_accuracy,0.502,0.5039,-0.0018,-0.0058,0.0018,1.0037,0.9964,1.0115,772.0,1223.0,2000,swin_tiny_phenobench_indomain_300ep_predictions.csv,swin_tiny_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
swin_tiny,Swin-T,phenobench,cropandweed,macro_f1,0.0464,0.216,-0.1696,-0.1911,-0.1479,4.6567,3.5007,6.7742,772.0,1223.0,2000,swin_tiny_phenobench_indomain_300ep_predictions.csv,swin_tiny_train_phenobench_test_cropandweed_300ep_predictions.csv,classification,available,,,,,,
DeepLabV3+,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.6999,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
DeepLabV3+,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.3389,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
DeepLabV3+,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.4386,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
DeepLabV3+,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.8753,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
Mask2Former-Swin-T,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.8839,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
Mask2Former-Swin-T,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.5794,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
Mask2Former-Swin-T,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.4395,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
Mask2Former-Swin-T,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.8746,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
SegFormer-B0,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.8453,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
SegFormer-B0,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.5117,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
SegFormer-B0,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.381,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
SegFormer-B0,,phenobench,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,phenobench,0.8657,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
U-Net,,cropandweed,,mIoU,,,,,,,,,,,0,,,segmentation,unavailable,cropandweed,0.5732,,,,Per-image segmentation IoU records were not available in the local final package; aggregate estimate retained.
