task,model,model_key,seed,train_dataset,test_dataset,direction,corruption,num_samples,miou,iou_background,iou_crop,iou_weed
segmentation,SegFormer-B0,segformer_b0,0,cropandweed,phenobench,C&W -> PB,clean,772,0.6379481320872062,0.9774605478472179,0.7746705195493131,0.16171332886508774
segmentation,SegFormer-B0,segformer_b0,0,cropandweed,phenobench,C&W -> PB,gaussian_blur_3,772,0.5813671640211732,0.9749037584721185,0.7065612936920046,0.06263643989939666
segmentation,SegFormer-B0,segformer_b0,0,cropandweed,phenobench,C&W -> PB,low_resolution_0.5,772,0.6219837372272546,0.9795866474603792,0.7721432967787054,0.11422126744267957
segmentation,SegFormer-B0,segformer_b0,0,cropandweed,phenobench,C&W -> PB,jpeg_quality_50,772,0.6091922283895198,0.9683187155759796,0.7129334420818308,0.14632452751074906
segmentation,SegFormer-B0,segformer_b0,0,cropandweed,phenobench,C&W -> PB,brightness_minus_20,772,0.6304643915476008,0.9781580627541038,0.761672772468931,0.15156233941976782
segmentation,SegFormer-B0,segformer_b0,0,cropandweed,phenobench,C&W -> PB,contrast_0.7,772,0.5989114946810149,0.9741545201617264,0.6976589376429676,0.12492102623835086
segmentation,SegFormer-B0,segformer_b0,0,phenobench,cropandweed,PB -> C&W,clean,1223,0.3906641830780291,0.9281078751610818,0.15807307834059323,0.08581159573241208
segmentation,SegFormer-B0,segformer_b0,0,phenobench,cropandweed,PB -> C&W,gaussian_blur_3,1223,0.3311122215238428,0.8298425928018365,0.08641441867249713,0.07707965309719476
segmentation,SegFormer-B0,segformer_b0,0,phenobench,cropandweed,PB -> C&W,low_resolution_0.5,1223,0.37723220121411133,0.9126785835236076,0.13834798559063777,0.08067003452808864
segmentation,SegFormer-B0,segformer_b0,0,phenobench,cropandweed,PB -> C&W,jpeg_quality_50,1223,0.38481851094904845,0.9212036485753688,0.15050428135793928,0.08274760291383718
segmentation,SegFormer-B0,segformer_b0,0,phenobench,cropandweed,PB -> C&W,brightness_minus_20,1223,0.4107101788284217,0.9439936236103429,0.18457403175719225,0.10356288111772972
segmentation,SegFormer-B0,segformer_b0,0,phenobench,cropandweed,PB -> C&W,contrast_0.7,1223,0.410441597125697,0.9400110585294301,0.17521945430460054,0.1160942785430604
segmentation,SegFormer-B0,segformer_b0,1,cropandweed,phenobench,C&W -> PB,clean,772,0.573929115121217,0.9643031726535907,0.633810987384536,0.1236731853255245
segmentation,SegFormer-B0,segformer_b0,1,cropandweed,phenobench,C&W -> PB,gaussian_blur_3,772,0.5246750739400596,0.9448235657066953,0.5470964623539437,0.08210519375953977
segmentation,SegFormer-B0,segformer_b0,1,cropandweed,phenobench,C&W -> PB,low_resolution_0.5,772,0.5756132570333531,0.967005517168225,0.637096583324513,0.12273767060732133
segmentation,SegFormer-B0,segformer_b0,1,cropandweed,phenobench,C&W -> PB,jpeg_quality_50,772,0.5259632986558549,0.9489735976327862,0.5315120396926771,0.09740425864210125
segmentation,SegFormer-B0,segformer_b0,1,cropandweed,phenobench,C&W -> PB,brightness_minus_20,772,0.5317758886667777,0.9584075052207731,0.5449456739907799,0.0919744867887804
segmentation,SegFormer-B0,segformer_b0,1,cropandweed,phenobench,C&W -> PB,contrast_0.7,772,0.5072702993710062,0.9683777970442106,0.4829321934805357,0.07050090758827222
segmentation,SegFormer-B0,segformer_b0,1,phenobench,cropandweed,PB -> C&W,clean,1223,0.39097627367737614,0.9325306044926789,0.1644252252240808,0.07597299131536886
segmentation,SegFormer-B0,segformer_b0,1,phenobench,cropandweed,PB -> C&W,gaussian_blur_3,1223,0.37401342689593786,0.9108322080516107,0.13941449785276455,0.07179357478343841
segmentation,SegFormer-B0,segformer_b0,1,phenobench,cropandweed,PB -> C&W,low_resolution_0.5,1223,0.3861116455573859,0.9275785797894475,0.15732651588222715,0.07342984100048328
segmentation,SegFormer-B0,segformer_b0,1,phenobench,cropandweed,PB -> C&W,jpeg_quality_50,1223,0.3815027692424737,0.9216049962576783,0.15022303665361178,0.0726802748161311
segmentation,SegFormer-B0,segformer_b0,1,phenobench,cropandweed,PB -> C&W,brightness_minus_20,1223,0.4087036017855996,0.9459819926638285,0.1892519391360561,0.09087687355691407
segmentation,SegFormer-B0,segformer_b0,1,phenobench,cropandweed,PB -> C&W,contrast_0.7,1223,0.41446339141636185,0.9447087985870445,0.18494860886551756,0.11373276679652346
segmentation,SegFormer-B0,segformer_b0,2,cropandweed,phenobench,C&W -> PB,clean,772,0.5411153674543613,0.9740412460758203,0.5584721879985763,0.09083266828868727
