task,model,train_dataset,test_dataset,scope,metric,estimate,ci_low,ci_high,n_images,n_bootstrap,status,method_note,run_id
detection,YOLO11m,cropandweed,cropandweed,in_domain,mAP50,0.8639765272667429,0.8526246230907815,0.8764826535592083,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_cropandweed_indomain
detection,YOLO11m,cropandweed,cropandweed,in_domain,mAP50-95,0.6695802082140553,0.6567223304169091,0.6822924722310048,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_cropandweed_indomain
detection,YOLO11m,cropandweed,cropandweed,in_domain,precision,0.18771320018821427,0.17960584088569326,0.1957399426554144,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_cropandweed_indomain
detection,YOLO11m,cropandweed,cropandweed,in_domain,recall,0.9356815626100145,0.9243442300066665,0.9469717887657775,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_cropandweed_indomain
detection,YOLO11m,cropandweed,phenobench,cross_dataset,mAP50,0.5783330345508991,0.566127151608273,0.5913235674172793,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_train_cropandweed_test_phenobench
detection,YOLO11m,cropandweed,phenobench,cross_dataset,mAP50-95,0.4543742117768959,0.4432489957260301,0.46591407227133685,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_train_cropandweed_test_phenobench
detection,YOLO11m,cropandweed,phenobench,cross_dataset,precision,0.18770580313390542,0.18334318607512318,0.19219830271758734,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_train_cropandweed_test_phenobench
detection,YOLO11m,cropandweed,phenobench,cross_dataset,recall,0.7828348149336485,0.7711811849695317,0.7932145547790299,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_train_cropandweed_test_phenobench
detection,YOLO11m,phenobench,phenobench,in_domain,mAP50,0.8159946479729625,0.8064186700800595,0.8257835141989263,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_phenobench_indomain
detection,YOLO11m,phenobench,phenobench,in_domain,mAP50-95,0.6427689048071304,0.6314797880676758,0.6524865669800394,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_phenobench_indomain
detection,YOLO11m,phenobench,phenobench,in_domain,precision,0.32332460335361585,0.3165339916565525,0.331158804437387,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_phenobench_indomain
detection,YOLO11m,phenobench,phenobench,in_domain,recall,0.8814857584186634,0.8742273803515996,0.8889498128797844,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_phenobench_indomain
detection,YOLO11m,phenobench,cropandweed,cross_dataset,mAP50,0.32089932348280154,0.3045692140590058,0.3380347714232647,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_train_phenobench_test_cropandweed
detection,YOLO11m,phenobench,cropandweed,cross_dataset,mAP50-95,0.20823883139838667,0.19547326472904297,0.22118837807146352,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_train_phenobench_test_cropandweed
detection,YOLO11m,phenobench,cropandweed,cross_dataset,precision,0.020410002509769834,0.019193955350913634,0.021563581060347864,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_train_phenobench_test_cropandweed
detection,YOLO11m,phenobench,cropandweed,cross_dataset,recall,0.6407960283147477,0.6237893606281956,0.6592364362348847,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,yolo11m_train_phenobench_test_cropandweed
detection,RT-DETR-L,cropandweed,cropandweed,in_domain,mAP50,0.8203381092348133,0.8059067013238594,0.8339367459861337,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_cropandweed_indomain
detection,RT-DETR-L,cropandweed,cropandweed,in_domain,mAP50-95,0.6220365210902611,0.6080352273414849,0.6354396490709026,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_cropandweed_indomain
detection,RT-DETR-L,cropandweed,cropandweed,in_domain,precision,0.028288361951485416,0.026590283455982553,0.03012278550013628,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_cropandweed_indomain
detection,RT-DETR-L,cropandweed,cropandweed,in_domain,recall,0.9104650280078229,0.8975594609254537,0.9221298008564967,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_cropandweed_indomain
detection,RT-DETR-L,cropandweed,phenobench,cross_dataset,mAP50,0.4501642493059146,0.4356834994700491,0.4654866557902275,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_train_cropandweed_test_phenobench
detection,RT-DETR-L,cropandweed,phenobench,cross_dataset,mAP50-95,0.3386088952013568,0.3260461916419343,0.3524204356036486,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_train_cropandweed_test_phenobench
detection,RT-DETR-L,cropandweed,phenobench,cross_dataset,precision,0.030915371329879104,0.029843803972366148,0.032038428324697756,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_train_cropandweed_test_phenobench
detection,RT-DETR-L,cropandweed,phenobench,cross_dataset,recall,0.6194817439984319,0.603597900145417,0.6327197917978331,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_train_cropandweed_test_phenobench
detection,RT-DETR-L,phenobench,phenobench,in_domain,mAP50,0.737284867208957,0.7259708897607783,0.7488952651123562,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_phenobench_indomain
detection,RT-DETR-L,phenobench,phenobench,in_domain,mAP50-95,0.5524069893758808,0.5414115967246094,0.5634129722193266,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_phenobench_indomain
detection,RT-DETR-L,phenobench,phenobench,in_domain,precision,0.041044905008635585,0.0399739853195164,0.042128886010362694,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_phenobench_indomain
detection,RT-DETR-L,phenobench,phenobench,in_domain,recall,0.8504352575136107,0.8426334595264161,0.8583966285945959,772,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_phenobench_indomain
detection,RT-DETR-L,phenobench,cropandweed,cross_dataset,mAP50,0.4282889594197777,0.4108416036070826,0.4467059669423958,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_train_phenobench_test_cropandweed
detection,RT-DETR-L,phenobench,cropandweed,cross_dataset,mAP50-95,0.2846113702975967,0.2695117004434713,0.2994431665222808,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_train_phenobench_test_cropandweed
detection,RT-DETR-L,phenobench,cropandweed,cross_dataset,precision,0.019394930498773506,0.018148882529299536,0.02067068683565004,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_train_phenobench_test_cropandweed
detection,RT-DETR-L,phenobench,cropandweed,cross_dataset,recall,0.628373618757174,0.6099945012653293,0.6451309295761588,1223,1000,available_image_resampling,per-image AP/precision/recall bootstrap from saved predictions.json and YOLO label files,rtdetr_l_train_phenobench_test_cropandweed
