task,model,train_dataset,test_dataset,seed,primary_metric,in_domain_score,external_score,retention
classification,convnextv2_tiny,cropandweed,phenobench,0,balanced_accuracy,0.8723594961240311,0.5859636537541846,0.6716997480484501
classification,convnextv2_tiny,phenobench,cropandweed,0,balanced_accuracy,0.5733699984058664,0.5098093161683278,0.8891454341624856
classification,dinov2_small_linear,cropandweed,phenobench,0,balanced_accuracy,0.8427169850498339,0.7480073330145066,0.8876139276702407
classification,dinov2_small_linear,phenobench,cropandweed,0,balanced_accuracy,0.723497529092938,0.5199179817275748,0.7186174946297403
classification,efficientnetv2_s,cropandweed,phenobench,0,balanced_accuracy,0.8712901439645626,0.6800573888091822,0.7805177110288094
classification,efficientnetv2_s,phenobench,cropandweed,0,balanced_accuracy,0.5856846803762155,0.44797895902547064,0.7648807865995584
classification,resnet50,cropandweed,phenobench,0,balanced_accuracy,0.8376730343300112,0.624382273234497,0.745377071537096
classification,resnet50,phenobench,cropandweed,0,balanced_accuracy,0.5911844412561773,0.4652391334440753,0.7869610581352795
classification,swin_tiny,cropandweed,phenobench,0,balanced_accuracy,0.8696895764119601,0.4602662203092619,0.5292304665857466
classification,swin_tiny,phenobench,cropandweed,0,balanced_accuracy,0.5020325203252033,0.5038759689922481,1.003671970624235
detection,rtdetr_l,cropandweed,phenobench,0,mAP50,0.8206931918260576,0.39712493231051527,0.48388963898543486
detection,rtdetr_l,phenobench,cropandweed,0,mAP50,0.6965102676697689,0.33639927630148303,0.48297820135076236
detection,yolo11m,cropandweed,phenobench,0,mAP50,0.881,0.519,0.5891032917139615
detection,yolo11m,phenobench,cropandweed,0,mAP50,0.789,0.214,0.2712294043092522
detection,yolov12n,cropandweed,phenobench,0,mAP50,0.862,0.493,0.5719257540603249
detection,yolov12n,phenobench,cropandweed,0,mAP50,0.794,0.293,0.36901763224181355
detection,yolov5l6u,cropandweed,phenobench,0,mAP50,0.873,0.514,0.588774341351661
detection,yolov5l6u,phenobench,cropandweed,0,mAP50,0.792,0.285,0.3598484848484848
detection,yolov8m,cropandweed,phenobench,0,mAP50,0.878,0.489,0.5569476082004555
detection,yolov8m,phenobench,cropandweed,0,mAP50,0.784,0.293,0.3737244897959183
segmentation,deeplabv3plus,cropandweed,phenobench,0,miou,0.6999284260488117,0.3389000339321639,0.48419241356619747
segmentation,deeplabv3plus,phenobench,cropandweed,0,miou,0.8752907195425843,0.43862371286454466,0.50111774644859
segmentation,mask2former_swin_tiny,cropandweed,phenobench,0,miou,0.8839347979735184,0.5794492155146953,0.6555338887473632
segmentation,mask2former_swin_tiny,phenobench,cropandweed,0,miou,0.8746395294013866,0.43951611847058386,0.5025111531048612
segmentation,segformer_b0,cropandweed,phenobench,0,miou,0.8453267494005402,0.511712050835977,0.6053423143167485
segmentation,segformer_b0,phenobench,cropandweed,0,miou,0.8657266025702816,0.3810087265726076,0.44010282858516697
segmentation,unet,cropandweed,phenobench,0,miou,0.5732166180371466,0.37444145069911466,0.6532285333619714
segmentation,unet,phenobench,cropandweed,0,miou,0.8805888489206853,0.40883210332393954,0.4642712700995866
segmentation,upernet_swin_tiny,cropandweed,phenobench,0,miou,0.7847613068323464,0.36510589582754355,0.4652445178538135
segmentation,upernet_swin_tiny,phenobench,cropandweed,0,miou,0.7942555829091072,0.378090789625406,0.47603164240983853
classification,convnextv2_tiny,cropandweed,phenobench,1,balanced_accuracy,0.8689991694352159,0.5931372549019608,0.6825521539766894
classification,convnextv2_tiny,phenobench,cropandweed,1,balanced_accuracy,0.5149051490514905,0.5165888012181616,1.003269829734219
classification,dinov2_small_linear,cropandweed,phenobench,1,balanced_accuracy,0.8116953903654485,0.6243025665550773,0.7691340544314271
classification,dinov2_small_linear,phenobench,cropandweed,1,balanced_accuracy,0.7178782081938466,0.6308087624584717,0.878712788963969
classification,efficientnetv2_s,cropandweed,phenobench,1,balanced_accuracy,0.8634170819490588,0.5697433444922685,0.6598703643969406
classification,efficientnetv2_s,phenobench,cropandweed,1,balanced_accuracy,0.4875259046708114,0.4956222314507198,1.0166069673474587
classification,resnet50,cropandweed,phenobench,1,balanced_accuracy,0.847124169435216,0.570779531324725,0.6737849679171213
classification,resnet50,phenobench,cropandweed,1,balanced_accuracy,0.510561135023115,0.45216292912513845,0.8856195626889372
classification,swin_tiny,cropandweed,phenobench,1,balanced_accuracy,0.8675128045404208,0.6551889048302247,0.7552498376981558
classification,swin_tiny,phenobench,cropandweed,1,balanced_accuracy,0.5033875338753387,0.5079491971207087,1.0090619312922828
detection,rtdetr_l,cropandweed,phenobench,1,mAP50,0.819001664231841,0.4075953185641721,0.49767337035446
detection,rtdetr_l,phenobench,cropandweed,1,mAP50,0.7010208266940432,0.3306874871199632,0.4717227713183049
