task,model,train_dataset,test_dataset,primary_metric_name,seeds,in_domain_score_mean,in_domain_score_std,in_domain_score_n,external_score_mean,external_score_std,external_score_n,absolute_drop_mean,absolute_drop_std,absolute_drop_n,retention_mean,retention_std,retention_n
classification,convnextv2_tiny,cropandweed,phenobench,balanced_accuracy,"0,1,2",0.8680890088593577,0.0047908540887397115,3,0.5802513417291036,0.016501079472015227,3,0.28783766713025416,0.012757916974299635,3,0.6683785841296913,0.016093258239364146,3
classification,convnextv2_tiny,phenobench,cropandweed,balanced_accuracy,"0,1,2",0.5334900898028588,0.03456358480191589,3,0.5276993355481728,0.025342936708162195,3,0.005790754254686077,0.05441907211464765,3,0.9931018412922219,0.09926376492010247,3
classification,dinov2_small_linear,cropandweed,phenobench,balanced_accuracy,"0,1,2",0.8139829042081949,0.027661354155405344,3,0.6264280780062702,0.12053055607828005,3,0.18755482620192465,0.09292628127209143,3,0.7668317368789457,0.1219496504150103,3
classification,dinov2_small_linear,phenobench,cropandweed,balanced_accuracy,"0,1,2",0.7164302035177214,0.00789159862187649,3,0.5785085594315246,0.05571236777376972,3,0.1379216440861969,0.05964945615239464,3,0.8078056011958608,0.08159822186215494,3
classification,efficientnetv2_s,cropandweed,phenobench,balanced_accuracy,"0,1,2",0.8658643641565154,0.004706364025714082,3,0.6104336043360433,0.06058183497548592,3,0.255430759820472,0.05593555474622297,3,0.70476319177221,0.06597937997330067,3
classification,efficientnetv2_s,phenobench,cropandweed,balanced_accuracy,"0,1,2",0.5542802486848398,0.05784460681783893,3,0.4816277916205242,0.02927783663563791,3,0.0726524570643156,0.0741574090055415,3,0.8772171654893347,0.1280251275695884,3
classification,resnet50,cropandweed,phenobench,balanced_accuracy,"0,1,2",0.8419487126245847,0.004789383021609114,3,0.5792682926829268,0.04152551620128421,3,0.26268041994165797,0.04417214263929242,3,0.6881200065329264,0.05160506358048494,3
classification,resnet50,phenobench,cropandweed,balanced_accuracy,"0,1,2",0.5570566980179605,0.04171032966948215,3,0.4579474667774086,0.006667110187117989,3,0.09910923124055193,0.03584743222042895,3,0.8247208115314928,0.05324410806123725,3
classification,swin_tiny,cropandweed,phenobench,balanced_accuracy,"0,1,2",0.8693458148763381,0.0016875960526936404,3,0.5583320048886763,0.09746696510492903,3,0.3110138099876618,0.09855002729884273,3,0.6423380067763432,0.11300981265403752,3
classification,swin_tiny,phenobench,cropandweed,balanced_accuracy,"0,1,2",0.509936766034327,0.012535401162039675,3,0.5144420219638243,0.014913141220717286,3,-0.004505255929497243,0.0026340566213889764,3,1.0087645857693688,0.004950644105882944,3
detection,rtdetr_l,cropandweed,phenobench,mAP50,"0,1,2",0.8176486162791705,0.00390123515484449,3,0.3993394734779227,0.00740136891764312,3,0.4183091428012478,0.006245342352611953,3,0.4883917642317182,0.008039302873986381,3
detection,rtdetr_l,phenobench,cropandweed,mAP50,"0,1,2",0.6988517969867258,0.002260221839634338,3,0.3411187700139269,0.01342816658172222,3,0.35773302697279896,0.013942226760960918,3,0.4881226243896281,0.01948815155775243,3
detection,yolo11m,cropandweed,phenobench,mAP50,"0,1,2",0.8813333333333334,0.001527525231651948,3,0.5193333333333333,0.006506407098647717,3,0.36199999999999993,0.008000000000000007,3,0.5892681722920384,0.008377877082449678,3
detection,yolo11m,phenobench,cropandweed,mAP50,"0,1,2",0.7903333333333333,0.0032145502536643214,3,0.2356666666666667,0.024986663109213554,3,0.5546666666666668,0.022188585654190178,3,0.2981139446083456,0.030484573540193738,3
detection,yolov12n,cropandweed,phenobench,mAP50,"0,1,2",0.863,0.001732050807568879,3,0.4766666666666666,0.01703917055884273,3,0.38633333333333336,0.017009801096230754,3,0.5523365029125259,0.019722909495845924,3
detection,yolov12n,phenobench,cropandweed,mAP50,"0,1,2",0.7933333333333333,0.0020816659994661343,3,0.3253333333333333,0.028360771028541055,3,0.468,0.028687976575562144,3,0.4100935805310282,0.03586753588873993,3
detection,yolov5l6u,cropandweed,phenobench,mAP50,"0,1,2",0.8723333333333333,0.0020816659994661343,3,0.5266666666666667,0.013576941236277546,3,0.3456666666666666,0.01527525231651948,3,0.6037666402224221,0.01674618452664523,3
