task,model,train_dataset,test_dataset,scope,primary_metric_name,seeds,primary_metric_mean,primary_metric_std,primary_metric_n,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,macro_f1_mean,macro_f1_std,macro_f1_n,ece_mean,ece_std,ece_n,brier_mean,brier_std,brier_n,high_conf_wrong_0.9_mean,high_conf_wrong_0.9_std,high_conf_wrong_0.9_n,precision_mean,precision_std,precision_n,recall_mean,recall_std,recall_n,mAP50_mean,mAP50_std,mAP50_n,mAP50-95_mean,mAP50-95_std,mAP50-95_n,miou_mean,miou_std,miou_n,iou_background_mean,iou_background_std,iou_background_n,iou_crop_mean,iou_crop_std,iou_crop_n,iou_weed_mean,iou_weed_std,iou_weed_n
classification,convnextv2_tiny,cropandweed,cropandweed,in_domain,balanced_accuracy,"0,1,2",0.8680890088593577,0.0047908540887397115,3,0.8618152085036795,0.011534534733986813,3,0.8680890088593577,0.0047908540887397115,3,0.8354735674020007,0.011145129659828622,3,0.07670513277126613,0.011464275859257243,3,0.23344773531804605,0.008668950823007483,3,34.333333333333336,15.17673658377628,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,convnextv2_tiny,cropandweed,phenobench,cross_dataset,balanced_accuracy,"0,1,2",0.5802513417291036,0.016501079472015227,3,0.26899827288428324,0.09866124911631836,3,0.5802513417291036,0.016501079472015227,3,0.23827862799019642,0.07354993276659728,3,0.4685241195770537,0.15890191327148703,3,0.9377726788547737,0.22816444447498627,3,114.33333333333333,138.19310161268302,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,convnextv2_tiny,phenobench,cropandweed,cross_dataset,balanced_accuracy,"0,1,2",0.5276993355481728,0.025342936708162195,3,0.37803216135186696,0.06997736635015975,3,0.5276993355481728,0.025342936708162195,3,0.3679627444813558,0.08621325220808926,3,0.2907894632575232,0.10084809066329588,3,0.6818806281438424,0.08217699015232097,3,14.0,16.822603841260722,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,convnextv2_tiny,phenobench,phenobench,in_domain,balanced_accuracy,"0,1,2",0.5334900898028588,0.03456358480191589,3,0.11701208981001728,0.0815582280695801,3,0.5334900898028588,0.03456358480191589,3,0.11258585812830046,0.07444003729750398,3,0.4921599377416371,0.10603542626192643,3,0.7199742687135006,0.08751402327668283,3,6.333333333333333,9.29157324317757,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,dinov2_small_linear,cropandweed,cropandweed,in_domain,balanced_accuracy,"0,1,2",0.8139829042081949,0.027661354155405344,3,0.8261106568547288,0.03720434647726945,3,0.8139829042081949,0.027661354155405344,3,0.7905371471222455,0.03341585326954163,3,0.03132182172872481,0.016681197696438377,3,0.2473573580723604,0.0535081792520657,3,30.333333333333332,13.012814197295423,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,dinov2_small_linear,cropandweed,phenobench,cross_dataset,balanced_accuracy,"0,1,2",0.6264280780062702,0.12053055607828005,3,0.7059585492227979,0.16580310880829013,3,0.6264280780062702,0.12053055607828005,3,0.48562534301274723,0.08919963816270213,3,0.12596879461989297,0.09678095796386268,3,0.4240461369903265,0.23217763309229475,3,40.0,66.68583057891684,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,dinov2_small_linear,phenobench,cropandweed,cross_dataset,balanced_accuracy,"0,1,2",0.5785085594315246,0.05571236777376972,3,0.732624693376942,0.009105092989092435,3,0.5785085594315246,0.05571236777376972,3,0.5660994039155944,0.08297618898967907,3,0.06475656647940818,0.0406019569913499,3,0.375384183701055,0.01735094140248304,3,0.0,0.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,dinov2_small_linear,phenobench,phenobench,in_domain,balanced_accuracy,"0,1,2",0.7164302035177214,0.00789159862187649,3,0.5293609671848013,0.0198289507827375,3,0.7164302035177214,0.00789159862187649,3,0.4110196334435905,0.011072835523366294,3,0.3001304821904253,0.05631253124016541,3,0.3823577659421735,0.058980179182265065,3,0.0,0.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,efficientnetv2_s,cropandweed,cropandweed,in_domain,balanced_accuracy,"0,1,2",0.8658643641565154,0.004706364025714082,3,0.8778958844371764,0.009117322803858144,3,0.8658643641565154,0.004706364025714082,3,0.8489666350471481,0.008653237313056993,3,0.09146168042541881,0.013072951605937324,3,0.2172211288800804,0.003958030303392017,3,56.666666666666664,20.502032419575706,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,efficientnetv2_s,cropandweed,phenobench,cross_dataset,balanced_accuracy,"0,1,2",0.6104336043360433,0.06058183497548592,3,0.559153713298791,0.11883494334773292,3,0.6104336043360433,0.06058183497548592,3,0.4092658793189264,0.05588512069107489,3,0.24054723887966498,0.16885222515228293,3,0.6711819972774546,0.2363397364560317,3,150.33333333333334,114.09352888456615,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,efficientnetv2_s,phenobench,cropandweed,cross_dataset,balanced_accuracy,"0,1,2",0.4816277916205242,0.02927783663563791,3,0.4783319705641864,0.18777930311188587,3,0.4816277916205242,0.02927783663563791,3,0.39157796995740446,0.1276387964403072,3,0.3994876237453639,0.24062838723160968,3,,,0,409.0,274.16965550549173,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,efficientnetv2_s,phenobench,phenobench,in_domain,balanced_accuracy,"0,1,2",0.5542802486848398,0.05784460681783893,3,0.3713298791018998,0.14601343629052338,3,0.5542802486848398,0.05784460681783893,3,0.2983818907848017,0.07889159398777965,3,0.40138151639483755,0.2189998891020333,3,0.8719693579979108,0.29451568427384117,3,141.33333333333334,200.95853635348098,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,resnet50,cropandweed,cropandweed,in_domain,balanced_accuracy,"0,1,2",0.8419487126245847,0.004789383021609114,3,0.8465521940583266,0.019714517656064422,3,0.8419487126245847,0.004789383021609114,3,0.815555149045503,0.016788141358785844,3,0.08189881465258926,0.014980615165740417,3,0.26166951429872537,0.02274859879288123,3,71.33333333333333,6.506407098647712,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,resnet50,cropandweed,phenobench,cross_dataset,balanced_accuracy,"0,1,2",0.5792682926829268,0.04152551620128421,3,0.3475820379965458,0.041497976150330115,3,0.5792682926829268,0.04152551620128421,3,0.29373805170717393,0.02358029604894756,3,0.48411983009652976,0.03638617753561741,3,1.0412797458237677,0.04887966631375446,3,284.3333333333333,28.53652630109932,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,resnet50,phenobench,cropandweed,cross_dataset,balanced_accuracy,"0,1,2",0.4579474667774086,0.006667110187117989,3,0.30035431997819567,0.015084321724744302,3,0.4579474667774086,0.006667110187117989,3,0.2907452741106801,0.020662644852577534,3,0.219868037657765,0.016495196234233518,3,0.5215864079678717,0.0024578162378093263,3,0.0,0.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,resnet50,phenobench,phenobench,in_domain,balanced_accuracy,"0,1,2",0.5570566980179605,0.04171032966948215,3,0.2335924006908463,0.1020798810296066,3,0.5570566980179605,0.04171032966948215,3,0.2107132875254253,0.0823138430919681,3,0.28299667502211373,0.10399227932626012,3,0.5235375070841225,0.010886437380454715,3,0.0,0.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,swin_tiny,cropandweed,cropandweed,in_domain,balanced_accuracy,"0,1,2",0.8693458148763381,0.0016875960526936404,3,0.8770782229490325,0.005320038510750385,3,0.8693458148763381,0.0016875960526936404,3,0.8491136326355369,0.0048986993324749255,3,0.1051805529161642,0.011686077186543678,3,0.22169030039728757,0.006149209271292936,3,61.0,7.810249675906654,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,swin_tiny,cropandweed,phenobench,cross_dataset,balanced_accuracy,"0,1,2",0.5583320048886763,0.09746696510492903,3,0.3164939550949914,0.185700582994669,3,0.5583320048886763,0.09746696510492903,3,0.26447513900092817,0.1222306939662398,3,0.5320708723368833,0.1980967120646027,3,1.1204121789877586,0.31241048505624724,3,323.3333333333333,136.75647455727034,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,swin_tiny,phenobench,cropandweed,cross_dataset,balanced_accuracy,"0,1,2",0.5144420219638243,0.014913141220717286,3,0.28645407467974926,0.02565338264276943,3,0.5144420219638243,0.014913141220717286,3,0.2446557166555735,0.03760720461286783,3,0.38086946043405456,0.05338022708499565,3,0.7023930185337431,0.07308632249636784,3,47.333333333333336,64.65549731719132,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
classification,swin_tiny,phenobench,phenobench,in_domain,balanced_accuracy,"0,1,2",0.509936766034327,0.012535401162039675,3,0.06303972366148532,0.023966647817578447,3,0.509936766034327,0.012535401162039675,3,0.062077897302157486,0.024798470552767456,3,0.5346049370697742,0.04862109696101585,3,0.697808761027597,0.0609643951089696,3,1.6666666666666667,2.8867513459481287,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
detection,rtdetr_l,cropandweed,cropandweed,in_domain,mAP50,"0,1,2",0.8176486162791705,0.00390123515484449,3,,,0,,,0,,,0,,,0,,,0,,,0,0.8251964164598492,0.001787176980726038,3,0.7692275297190876,0.004457732858814368,3,0.8176486162791705,0.00390123515484449,3,0.5875744616581478,0.0037737080649576367,3,,,0,,,0,,,0,,,0
detection,rtdetr_l,cropandweed,phenobench,cross_dataset,mAP50,"0,1,2",0.3993394734779227,0.00740136891764312,3,,,0,,,0,,,0,,,0,,,0,,,0,0.5592549683303099,0.02237021406008209,3,0.39259954259961266,0.00908847934397406,3,0.3993394734779227,0.00740136891764312,3,0.2792946591171397,0.007282696804751823,3,,,0,,,0,,,0,,,0
detection,rtdetr_l,phenobench,cropandweed,cross_dataset,mAP50,"0,1,2",0.3411187700139269,0.01342816658172222,3,,,0,,,0,,,0,,,0,,,0,,,0,0.44496087863541556,0.013527596258849695,3,0.42402626854381326,0.00868231171287005,3,0.3411187700139269,0.01342816658172222,3,0.21096950395383848,0.011103302472279426,3,,,0,,,0,,,0,,,0
detection,rtdetr_l,phenobench,phenobench,in_domain,mAP50,"0,1,2",0.6988517969867258,0.002260221839634338,3,,,0,,,0,,,0,,,0,,,0,,,0,0.7840047657256141,0.03527635501237334,3,0.6124368265059649,0.020298193003400772,3,0.6988517969867258,0.002260221839634338,3,0.5091451360745797,0.0028533030355433,3,,,0,,,0,,,0,,,0
