task,label,model,direction,latency_ms,external_score
classification,1,ConvNeXtV2-T,C&W -> PB,9.9,0.586
classification,2,ConvNeXtV2-T,PB -> C&W,9.92,0.5098
classification,3,DINOv2-S,C&W -> PB,9.7,0.748
classification,4,DINOv2-S,PB -> C&W,9.63,0.5199
classification,5,EffNetV2-S,C&W -> PB,10.67,0.6801
classification,6,EffNetV2-S,PB -> C&W,10.7,0.448
classification,7,ResNet50,C&W -> PB,3.66,0.6244
classification,8,ResNet50,PB -> C&W,3.72,0.4652
classification,9,Swin-T,C&W -> PB,13.56,0.4603
classification,10,Swin-T,PB -> C&W,13.45,0.5039
detection,1,RT-DETR-L,C&W -> PB,55.52,0.2767
detection,2,RT-DETR-L,PB -> C&W,65.11,0.2076
detection,3,YOLO11m,C&W -> PB,32.67,0.409
detection,4,YOLO11m,PB -> C&W,47.98,0.128
detection,5,YOLOv12N,C&W -> PB,34.66,0.379
detection,6,YOLOv12N,PB -> C&W,47.1,0.182
detection,7,YOLOv5l6u,C&W -> PB,35.48,0.403
detection,8,YOLOv5l6u,PB -> C&W,52.04,0.176
detection,9,YOLOv8m,C&W -> PB,32.46,0.386
detection,10,YOLOv8m,PB -> C&W,47.61,0.18
segmentation,1,DeepLabV3+,C&W -> PB,4.27,0.3389
segmentation,2,DeepLabV3+,PB -> C&W,4.28,0.4386
segmentation,3,Mask2Former-Swin-T,C&W -> PB,59.16,0.5794
segmentation,4,Mask2Former-Swin-T,PB -> C&W,59.63,0.4395
segmentation,5,SegFormer-B0,C&W -> PB,10.54,0.5117
segmentation,6,SegFormer-B0,PB -> C&W,10.56,0.381
segmentation,7,U-Net,C&W -> PB,4.47,0.3744
segmentation,8,U-Net,PB -> C&W,4.46,0.4088
segmentation,9,UPerNet-Swin-T,C&W -> PB,15.05,0.3651
segmentation,10,UPerNet-Swin-T,PB -> C&W,15.08,0.3781
