task,model,train_dataset,test_dataset,scope,metric,estimate,ci_low,ci_high,n_images,n_bootstrap,status,method_note,run_id
segmentation,Mask2Former-Swin-T,cropandweed,cropandweed,in_domain,mIoU,0.7992067832085802,0.7905651160621477,0.8078735588828905,1223,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_cropandweed_indomain
segmentation,Mask2Former-Swin-T,cropandweed,cropandweed,in_domain,background_IoU,0.984627908334298,0.978572619708298,0.990050877459855,1223,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_cropandweed_indomain
segmentation,Mask2Former-Swin-T,cropandweed,cropandweed,in_domain,crop_IoU,0.7849218277209676,0.766046219320985,0.8028978223872804,1223,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_cropandweed_indomain
segmentation,Mask2Former-Swin-T,cropandweed,cropandweed,in_domain,weed_IoU,0.5104269366696894,0.491456100674564,0.5285308262401802,1223,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_cropandweed_indomain
segmentation,Mask2Former-Swin-T,cropandweed,phenobench,cross_dataset,mIoU,0.6086884691970701,0.5973227017169581,0.6199578211929383,772,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_train_cropandweed_test_phenobench
segmentation,Mask2Former-Swin-T,cropandweed,phenobench,cross_dataset,background_IoU,0.9366252340562781,0.921149315687183,0.9501229373039263,772,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_train_cropandweed_test_phenobench
segmentation,Mask2Former-Swin-T,cropandweed,phenobench,cross_dataset,crop_IoU,0.8000302590900503,0.7845828472272376,0.8146347437628241,772,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_train_cropandweed_test_phenobench
segmentation,Mask2Former-Swin-T,cropandweed,phenobench,cross_dataset,weed_IoU,0.060134003029728586,0.05023931640037589,0.0710463285294905,772,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_train_cropandweed_test_phenobench
segmentation,Mask2Former-Swin-T,phenobench,phenobench,in_domain,mIoU,0.8084971878599728,0.8024971706279168,0.8142965172776826,772,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_phenobench_indomain
segmentation,Mask2Former-Swin-T,phenobench,phenobench,in_domain,background_IoU,0.9923853433206508,0.9919407532577691,0.9928165255968358,772,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_phenobench_indomain
segmentation,Mask2Former-Swin-T,phenobench,phenobench,in_domain,crop_IoU,0.8974861176767965,0.8906813933310728,0.9038532630736417,772,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_phenobench_indomain
segmentation,Mask2Former-Swin-T,phenobench,phenobench,in_domain,weed_IoU,0.5242385397949142,0.5083741428345357,0.5403626570137998,772,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_phenobench_indomain
segmentation,Mask2Former-Swin-T,phenobench,cropandweed,cross_dataset,mIoU,0.5257492401717438,0.5147009281886026,0.536704853045343,1223,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_train_phenobench_test_cropandweed
segmentation,Mask2Former-Swin-T,phenobench,cropandweed,cross_dataset,background_IoU,0.9509393145088073,0.939309331602195,0.9617872602239529,1223,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_train_phenobench_test_cropandweed
segmentation,Mask2Former-Swin-T,phenobench,cropandweed,cross_dataset,crop_IoU,0.37500489383663277,0.353864079496772,0.39530500538551644,1223,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_train_phenobench_test_cropandweed
segmentation,Mask2Former-Swin-T,phenobench,cropandweed,cross_dataset,weed_IoU,0.1841597541627739,0.17186447104891753,0.19653459892181993,1223,2000,available_image_resampling,per-image IoU bootstrap from rerun Mask2Former predictions and ground-truth masks,mask2former_train_phenobench_test_cropandweed
segmentation,U-Net,cropandweed,cropandweed,in_domain,miou,0.6039654099926959,0.593073750385192,0.6151469183061062,1223,2000,available,Per-image semantic-segmentation IoU bootstrap from saved SMP checkpoints and validation masks.,unet_cropandweed_indomain
segmentation,U-Net,cropandweed,cropandweed,in_domain,iou_background,0.9528831026129234,0.9413235317189868,0.9637013201989799,1223,2000,available,Per-image semantic-segmentation IoU bootstrap from saved SMP checkpoints and validation masks.,unet_cropandweed_indomain
segmentation,U-Net,cropandweed,cropandweed,in_domain,iou_crop,0.4443151471624887,0.41899098103785176,0.4673016634124022,1223,2000,available,Per-image semantic-segmentation IoU bootstrap from saved SMP checkpoints and validation masks.,unet_cropandweed_indomain
segmentation,U-Net,cropandweed,cropandweed,in_domain,iou_weed,0.3437481738556003,0.326479641528147,0.36273493665528217,1223,2000,available,Per-image semantic-segmentation IoU bootstrap from saved SMP checkpoints and validation masks.,unet_cropandweed_indomain
segmentation,U-Net,cropandweed,phenobench,cross_dataset,miou,0.40370320568358725,0.3994446188739136,0.408216980155339,772,2000,available,Per-image semantic-segmentation IoU bootstrap from saved SMP checkpoints and validation masks.,unet_train_cropandweed_test_phenobench
segmentation,U-Net,cropandweed,phenobench,cross_dataset,iou_background,0.9757313815030413,0.9735874874723125,0.9779161150730639,772,2000,available,Per-image semantic-segmentation IoU bootstrap from saved SMP checkpoints and validation masks.,unet_train_cropandweed_test_phenobench
segmentation,U-Net,cropandweed,phenobench,cross_dataset,iou_crop,0.1974365216421112,0.18651070688600122,0.20926383437395232,772,2000,available,Per-image semantic-segmentation IoU bootstrap from saved SMP checkpoints and validation masks.,unet_train_cropandweed_test_phenobench
segmentation,U-Net,cropandweed,phenobench,cross_dataset,iou_weed,0.03493165410723909,0.03050042469420947,0.0399819042481802,772,2000,available,Per-image semantic-segmentation IoU bootstrap from saved SMP checkpoints and validation masks.,unet_train_cropandweed_test_phenobench
