task,model,dataset,corruption,corruption_family,severity_value,primary_metric,score,accuracy,balanced_accuracy,macro_f1,ece,brier,high_conf_wrong_0.9,n_samples,clean_score,absolute_drop,retention,loss,miou,iou_background,iou_crop,iou_weed,audit_scope,status
classification,Swin-T,cropandweed,clean,clean,0.0,balanced_accuracy,0.8696895764119601,0.8716271463614064,0.8696895764119601,0.8443471669970046,0.09218079119750151,0.21797041384174234,52,1223,0.8696895764119601,0.0,1.0,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,clean,clean,0.0,balanced_accuracy,0.8427169850498339,0.8258381030253475,0.8427169850498339,0.7988463543174842,0.02192874746252449,0.24465336088582001,31,1223,0.8427169850498339,0.0,1.0,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,clean,clean,0.0,miou,0.5732166180371466,,,,,,,1223,0.5732166180371466,0.0,1.0,0.4344397247746112,0.5732166180371466,0.9520401369993117,0.1980413077796765,0.5695684093324515,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,clean,clean,0.0,miou,0.8453267494005402,,,,,,,1223,0.8453267494005402,0.0,1.0,0.1276488142418014,0.8453267494005402,0.9844648711148039,0.8005877722884879,0.7509276047983285,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,gaussian_blur_3,blur,3.0,balanced_accuracy,0.8544279485049834,0.8192968111201963,0.8544279485049834,0.7966673311943067,0.0771552296515283,0.29911701282224357,77,1223,0.8696895764119601,0.015261627906976716,0.9824516375487206,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,gaussian_blur_3,blur,3.0,balanced_accuracy,0.8406163482834994,0.8495502861815208,0.8406163482834994,0.8174271435061984,0.020543442723795897,0.2168667160527744,20,1223,0.8427169850498339,0.0021006367663345404,0.997507304583151,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,gaussian_blur_3,blur,3.0,miou,0.545911854569532,,,,,,,1223,0.5732166180371466,0.02730476346761468,0.9523657154931868,0.4045599604630767,0.545911854569532,0.9513515639327506,0.2086713602376138,0.47771263953823145,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,gaussian_blur_3,blur,3.0,miou,0.7947948849598463,,,,,,,1223,0.8453267494005402,0.05053186444069391,0.9402220922542338,0.13880470592772035,0.7947948849598463,0.9798275372467172,0.7256580480795698,0.6788990695532519,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,gaussian_blur_5,blur,5.0,balanced_accuracy,0.8142043881506091,0.7628781684382666,0.8142043881506091,0.7426346801346801,0.08535824461443349,0.36068746403906427,71,1223,0.8696895764119601,0.05548518826135096,0.9362011575552466,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,gaussian_blur_5,blur,5.0,balanced_accuracy,0.8206983665559247,0.8454619787408013,0.8206983665559247,0.8076924036889593,0.034461012796993054,0.22409880494177825,18,1223,0.8427169850498339,0.022018618493909292,0.9738718705276752,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,gaussian_blur_5,blur,5.0,miou,0.5213617184300041,,,,,,,1223,0.5732166180371466,0.05185489960714251,0.9095369918187157,0.39207708634119603,0.5213617184300041,0.9495428253268903,0.20185820555348755,0.41268412440963465,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,gaussian_blur_5,blur,5.0,miou,0.751875199511439,,,,,,,1223,0.8453267494005402,0.0934515498891012,0.8894491982474564,0.177097711278982,0.751875199511439,0.97711474670408,0.696216631812866,0.582294220017371,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,gaussian_blur_7,blur,7.0,balanced_accuracy,0.790015919158361,0.7465249386753884,0.790015919158361,0.7240539533367105,0.05541855681654087,0.37019279663858246,55,1223,0.8696895764119601,0.0796736572535991,0.9083883957971474,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,gaussian_blur_7,blur,7.0,balanced_accuracy,0.7612852990033223,0.8053965658217498,0.7612852990033223,0.7544673887370517,0.029709936406704034,0.26542826529028957,15,1223,0.8427169850498339,0.08143168604651163,0.9033700667114284,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,gaussian_blur_7,blur,7.0,miou,0.5057299707132537,,,,,,,1223,0.5732166180371466,0.06748664732389298,0.8822667640812891,0.3918943634371614,0.5057299707132537,0.9477724447404814,0.19353836590892878,0.3758791014903508,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,gaussian_blur_7,blur,7.0,miou,0.7013506500490263,,,,,,,1223,0.8453267494005402,0.1439760993515139,0.8296799439345627,0.23115158665448315,0.7013506500490263,0.972031780211594,0.6498455891143617,0.48217458082112347,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,jpeg_quality_70,jpeg,70.0,balanced_accuracy,0.8685821566998893,0.8699918233851186,0.8685821566998893,0.8426250921595398,0.08892814087653293,0.21576771129811292,47,1223,0.8696895764119601,0.001107419712070845,0.9987266494366419,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,jpeg_quality_70,jpeg,70.0,balanced_accuracy,0.8357160160575858,0.8184791496320524,0.8357160160575858,0.7910656570320436,0.030063918011167062,0.24917674492618377,29,1223,0.8427169850498339,0.007000968992248113,0.9916923841379154,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,jpeg_quality_70,jpeg,70.0,miou,0.5722550298176362,,,,,,,1223,0.5732166180371466,0.0009615882195104231,0.9983224697448528,0.4380867062360992,0.5722550298176362,0.9518528944895717,0.1984745136676179,0.5664376812957194,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,jpeg_quality_70,jpeg,70.0,miou,0.84513064903018,,,,,,,1223,0.8453267494005402,0.00019610037036021932,0.9997680182598039,0.11758813240347318,0.84513064903018,0.9843635626496788,0.7998539777293354,0.7511744067115255,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,jpeg_quality_50,jpeg,50.0,balanced_accuracy,0.8629844961240309,0.8691741618969746,0.8629844961240309,0.8404394113349337,0.0853213008465771,0.21862523292109845,50,1223,0.8696895764119601,0.006705080287929155,0.9922902602609175,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,jpeg_quality_50,jpeg,50.0,balanced_accuracy,0.8314835963455149,0.8152085036794767,0.8314835963455149,0.7873010742758642,0.023968171361812483,0.2545248764080849,32,1223,0.8427169850498339,0.011233388704319003,0.9866700340640996,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,jpeg_quality_50,jpeg,50.0,miou,0.5704731742302513,,,,,,,1223,0.5732166180371466,0.002743443806895285,0.9952139492810073,0.4347362528203947,0.5704731742302513,0.9516395929252902,0.19705759387139837,0.5627223358940654,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,jpeg_quality_50,jpeg,50.0,miou,0.8293499283885434,,,,,,,1223,0.8453267494005402,0.015976821011996822,0.9810998279383366,0.13088550239969218,0.8293499283885434,0.9813717991044649,0.7615628324546567,0.7451151536065084,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,jpeg_quality_30,jpeg,30.0,balanced_accuracy,0.8472989341085271,0.8683565004088307,0.8472989341085271,0.8352861952861952,0.06054584695390278,0.21651705320566944,30,1223,0.8696895764119601,0.022390642303433017,0.9742544432971025,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,jpeg_quality_30,jpeg,30.0,balanced_accuracy,0.8259464977851605,0.8070318887980377,0.8259464977851605,0.7793768727450621,0.027688603126310656,0.26168315093020755,30,1223,0.8427169850498339,0.01677048726467345,0.9800995024875621,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,jpeg_quality_30,jpeg,30.0,miou,0.5663032280461676,,,,,,,1223,0.5732166180371466,0.006913389990979013,0.9879393064097611,0.4424149532116846,0.5663032280461676,0.9511283711055804,0.1977781689742874,0.550003144058635,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,jpeg_quality_30,jpeg,30.0,miou,0.8197325911463761,,,,,,,1223,0.8453267494005402,0.025594158254164112,0.9697227630944909,0.12809871746163723,0.8197325911463761,0.9806438899295701,0.76960253765713,0.7089513458524286,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,low_resolution_0.75,low_resolution,0.75,balanced_accuracy,0.8720636074197121,0.8691741618969746,0.8720636074197121,0.8427929636032934,0.09561221685354962,0.22249309323951683,53,1223,0.8696895764119601,-0.00237403100775202,1.002729745270199,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,low_resolution_0.75,low_resolution,0.75,balanced_accuracy,0.8424591638981174,0.8299264104660671,0.8424591638981174,0.8020431921609155,0.022421171942014522,0.24086056089538901,30,1223,0.8427169850498339,0.00025782115171657516,0.9996940596234674,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,low_resolution_0.75,low_resolution,0.75,miou,0.572482761979085,,,,,,,1223,0.5732166180371466,0.0007338560580616438,0.9987197578804072,0.42801621889625524,0.572482761979085,0.9520379571231262,0.2026873697404433,0.5627229590736855,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,low_resolution_0.75,low_resolution,0.75,miou,0.8389875502822873,,,,,,,1223,0.8453267494005402,0.0063391991182528695,0.9925008890080099,0.1162771295341538,0.8389875502822873,0.9835593256202053,0.7854782971856392,0.7479250280410175,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,low_resolution_0.5,low_resolution,0.5,balanced_accuracy,0.8679903792912513,0.8601798855273917,0.8679903792912513,0.8339598883078093,0.09196460807508654,0.2309924510093482,59,1223,0.8696895764119601,0.001699197120708762,0.9980462027293473,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,low_resolution_0.5,low_resolution,0.5,balanced_accuracy,0.8458800526024364,0.8364677023712184,0.8458800526024364,0.8082723504587042,0.02144433978338857,0.23541464488468414,30,1223,0.8427169850498339,-0.0031630675526024277,1.003753416163097,,,,,,representative CropAndWeed in-domain severity sweep,available
segmentation,U-Net,cropandweed,low_resolution_0.5,low_resolution,0.5,miou,0.5699418127134207,,,,,,,1223,0.5732166180371466,0.0032748053237259267,0.9942869672290037,0.42060813853506523,0.5699418127134207,0.9520097629638666,0.2063597104058691,0.5514559647705264,representative CropAndWeed in-domain severity sweep,available
segmentation,SegFormer-B0,cropandweed,low_resolution_0.5,low_resolution,0.5,miou,0.8332547952287889,,,,,,,1223,0.8453267494005402,0.012071954171751331,0.985719185888401,0.11579348470884972,0.8332547952287889,0.9837567277704234,0.7835748380667633,0.7324328198491797,representative CropAndWeed in-domain severity sweep,available
classification,Swin-T,cropandweed,low_resolution_0.25,low_resolution,0.25,balanced_accuracy,0.8658966638981174,0.8421913327882257,0.8658966638981174,0.8182348126010228,0.07885579710014515,0.26853536215944,68,1223,0.8696895764119601,0.0037929125138427278,0.9956387743204984,,,,,,representative CropAndWeed in-domain severity sweep,available
classification,DINOv2-S,cropandweed,low_resolution_0.25,low_resolution,0.25,balanced_accuracy,0.8415870708748616,0.8405560098119379,0.8415870708748616,0.8103627190209807,0.016795584976136993,0.22956833929381376,24,1223,0.8427169850498339,0.001129914174972324,0.9986592009001628,,,,,,representative CropAndWeed in-domain severity sweep,available
