model,train_dataset,test_dataset,scope,temperature,validation_ece_before,validation_ece_after,validation_brier_before,validation_brier_after,n_test,accuracy_before,accuracy_after,accuracy_delta,balanced_accuracy_before,balanced_accuracy_after,balanced_accuracy_delta,macro_f1_before,macro_f1_after,macro_f1_delta,ece_before,ece_after,ece_delta,brier_before,brier_after,brier_delta,aurc_before,aurc_after,aurc_delta,risk_at_80_before,risk_at_80_after,risk_at_80_delta,risk_at_90_before,risk_at_90_after,risk_at_90_delta,high_conf_wrong_0.9_before,high_conf_wrong_0.9_after,high_conf_wrong_0.9_delta
DINOv2-S,cropandweed,cropandweed,in_domain,1.033,0.02192874746252449,0.025646896419701477,0.24465336088582001,0.2446232815404488,1223,0.8258381030253475,0.8258381030253475,0.0,0.8427169850498339,0.8427169850498339,0.0,0.7988463543174842,0.7988463543174842,0.0,0.02192874746252449,0.025646896419701477,0.003718148957176988,0.24465336088582001,0.2446232815404488,-0.000030079345371220034,0.0672892068436231,0.0672892068436231,0.0,0.10520939734422881,0.10520939734422881,0.0,0.14259763851044505,0.14259763851044505,0.0,31,30,-1.0
DINOv2-S,cropandweed,phenobench,cross_dataset,1.033,0.02192874746252449,0.025646896419701477,0.24465336088582001,0.2446232815404488,772,0.7059585492227979,0.7059585492227979,0.0,0.7480073330145066,0.7480073330145066,0.0,0.5062200094110222,0.5062200094110222,0.0,0.04656545269674589,0.043595966265202166,-0.0029694864315437247,0.3962826027129551,0.396420673113721,0.00013807040076585508,0.1919018790456553,0.1919018790456553,0.0,0.26375404530744334,0.26375404530744334,0.0,0.28633093525179854,0.28633093525179854,0.0,1,0,-1.0
DINOv2-S,phenobench,phenobench,in_domain,0.2950000000000001,0.29128465952033206,0.20949963315133072,0.3144223755085591,0.28395487433078453,772,0.5518134715025906,0.5518134715025906,0.0,0.723497529092938,0.723497529092938,0.0,0.42369165976249656,0.42369165976249656,0.0,0.29128465952033206,0.20949963315133072,-0.08178502636900134,0.3144223755085591,0.28395487433078453,-0.03046750117777458,0.15083767509145682,0.15083767509145682,0.0,0.3559870550161812,0.3559870550161812,0.0,0.4143884892086331,0.4143884892086331,0.0,0,2,2.0
DINOv2-S,phenobench,cropandweed,cross_dataset,0.2950000000000001,0.29128465952033206,0.20949963315133072,0.3144223755085591,0.28395487433078453,1223,0.7424366312346689,0.7424366312346689,0.0,0.5199179817275748,0.5199179817275748,0.0,0.47360330558185865,0.47360330558185865,0.0,0.029295846953902794,0.1646961387368204,0.1354002917829176,0.3623909764736716,0.4230194756041772,0.06062849913050561,0.21417741425378709,0.21417741425378709,0.0,0.212461695607763,0.212461695607763,0.0,0.23160762942779292,0.23160762942779292,0.0,0,200,200.0
ConvNeXtV2-T,cropandweed,cropandweed,in_domain,1.024,0.08988877470534258,0.09765315585953395,0.22344862969827028,0.22454661583345162,1223,0.8740801308258381,0.8740801308258381,0.0,0.8723594961240311,0.8723594961240311,0.0,0.8471944570649705,0.8471944570649705,0.0,0.08988877470534258,0.09765315585953395,0.007764381154191369,0.22344862969827028,0.22454661583345162,0.0010979861351813336,0.12106708695229429,0.12106708695229429,0.0,0.0898876404494382,0.0898876404494382,0.0,0.10263396911898275,0.10263396911898275,0.0,48,48,0.0
ConvNeXtV2-T,cropandweed,phenobench,cross_dataset,1.024,0.08988877470534258,0.09765315585953395,0.22344862969827028,0.22454661583345162,772,0.28886010362694303,0.28886010362694303,0.0,0.5859636537541846,0.5859636537541846,0.0,0.2565242788954905,0.2565242788954905,0.0,0.5368446692283907,0.5332402698548162,-0.003604399373574485,1.1032333699672772,1.0954947763158798,-0.007738593651397396,0.8562176524587133,0.8562176524587133,0.0,0.7621359223300971,0.7621359223300971,0.0,0.7352517985611511,0.7352517985611511,0.0,269,263,-6.0
ConvNeXtV2-T,phenobench,phenobench,in_domain,8.15,0.37250814196976967,0.29943930355803733,0.6468162862956911,0.5162321824208242,772,0.211139896373057,0.211139896373057,0.0,0.5733699984058664,0.5733699984058664,0.0,0.19848612709372201,0.19848612709372201,0.0,0.37250814196976967,0.29943930355803733,-0.07306883841173234,0.6468162862956911,0.5162321824208242,-0.13058410387486685,0.8837820817307296,0.8837820817307296,0.0,0.8495145631067961,0.8495145631067961,0.0,0.818705035971223,0.818705035971223,0.0,0,0,0.0
ConvNeXtV2-T,phenobench,cropandweed,cross_dataset,8.15,0.37250814196976967,0.29943930355803733,0.6468162862956911,0.5162321824208242,1223,0.39084219133278825,0.39084219133278825,0.0,0.5098093161683278,0.5098093161683278,0.0,0.39081612526869325,0.39081612526869325,0.0,0.26018766779833313,0.1297080897969411,-0.13047957800139204,0.6565916935045544,0.5135031499600101,-0.14308854354454426,0.6483612874897349,0.6483612874897349,0.0,0.6353421859039836,0.6353421859039836,0.0,0.6194368755676658,0.6194368755676658,0.0,8,0,-8.0
Swin-T,cropandweed,cropandweed,in_domain,1.129,0.09218079119750151,0.09880242124371548,0.21797041384174234,0.2234297782632361,1223,0.8716271463614064,0.8716271463614064,0.0,0.8696895764119601,0.8696895764119601,0.0,0.8443471669970046,0.8443471669970046,0.0,0.09218079119750151,0.09880242124371548,0.0066216300462139666,0.21797041384174234,0.2234297782632361,0.005459364421493751,0.12435445468493339,0.12435445468493339,0.0,0.08273748723186926,0.08273748723186926,0.0,0.0971843778383288,0.0971843778383288,0.0,52,47,-5.0
Swin-T,cropandweed,phenobench,cross_dataset,1.129,0.09218079119750151,0.09880242124371548,0.21797041384174234,0.2234297782632361,772,0.18264248704663213,0.18264248704663213,0.0,0.4602662203092619,0.4602662203092619,0.0,0.17163297129729296,0.17163297129729296,0.0,0.6487233827151164,0.6316005859869807,-0.01712279672813577,1.270234971738872,1.2268422321697154,-0.04339273956915646,0.9310663510751234,0.9310663510751234,0.0,0.8673139158576052,0.8673139158576052,0.0,0.8489208633093526,0.8489208633093526,0.0,333,295,-38.0
Swin-T,phenobench,phenobench,in_domain,8.15,0.5571892700819153,0.4656254243694632,0.7192465895993444,0.5252856655535814,772,0.04792746113989637,0.04792746113989637,0.0,0.5020325203252033,0.5020325203252033,0.0,0.04638980341936362,0.04638980341936362,0.0,0.5571892700819153,0.4656254243694632,-0.09156384571245213,0.7192465895993444,0.5252856655535814,-0.19396092404576304,0.9537496598232849,0.9537496598232849,0.0,0.9563106796116505,0.9563106796116505,0.0,0.9553956834532374,0.9553956834532374,0.0,5,0,-5.0
Swin-T,phenobench,cropandweed,cross_dataset,8.15,0.5571892700819153,0.4656254243694632,0.7192465895993444,0.5252856655535814,1223,0.26737530662305803,0.26737530662305803,0.0,0.5038759689922481,0.5038759689922481,0.0,0.21602564102564104,0.21602564102564104,0.0,0.4415620050270442,0.26716718534269396,-0.17439481968435022,0.7800952961773044,0.529217175330253,-0.2508781208470514,0.6729163565478335,0.6729163565478335,0.0,0.7027579162410623,0.7027579162410623,0.0,0.7247956403269755,0.7247956403269755,0.0,121,0,-121.0
